Word,Translation,Frequency,English frequency
absent,ਉਦਾਸ,2240,202
absolved,ਬਰੀ,929,11
abusive,ਅਪਮਾਨਜਨਕ,303,120
academic,ਅਕਾਦਮਿਕ,677,914
accredited,ਨਿਯੁਕਤ,2480,246
accustomed,ਅਭਿਆਸੀ,39,97
active,ਕਿਰਿਆਸ਼ੀਲ,36,4545
administrative,ਪ੍ਰਸ਼ਾਸਨਿਕ,412,845
admired,ਪ੍ਰਸੰਸਾਯੋਗ,18,135
adored,ਪੂਜਣਯੋਗ,12,98
adventurous,ਸਾਹਸਿਕ,37,64
advertised,ਇਸ਼ਤਿਹਾਰੀ,23,57
aerial,ਹਵਾਈ,8311,156
aesthetic,ਸੁੰਦਰਤਾ,2711,187
affected,ਪ੍ਰਭਾਵਿਤ,7495,4193
affirmative,ਸਕਾਰਾਤਮਿਕ,24,77
aghast,ਸੁੰਨ,199,42
aired,ਹਵਾਦਾਰ,279,102
airy,ਹਵਾਦਾਰ,279,134
alternate,ਮੂਹਰਲੀ,33,194
amalgamated,ਮਿਸ਼ਰਤ,34,12
anterior,ਸਾਹਮਣਾ,8435,13
anticipatory,ਆਸਵੰਦ,82,138
antisocial,ਅਸਮਾਜਿਕ,17,13
appalled,ਸੁੰਨ,199,48
applicable,ਲਾਗੂ,10763,941
appreciative,ਗੁਣਵਾਨ,21,83
approaching,ਆਗਾਮੀ,562,316
approximate,ਅਨੁਮਾਨਿਤ,123,223
aquatic,ਜਲੀ,11,49
arabic,ਅਰਬੀ,295,302
arable,ਕਿਰਸਾਨੀ,20,12
archaeological,ਪੁਰਾਤਤਵ,16,106
archeological,ਪੁਰਾਤਤਵ,16,8
armored,ਜਰੀਆ,9,15
arresting,ਸਨਸਨੀਖੇਜ,18,153
artistic,ਕਲਾਤਮਕ,314,336
asking,ਸਵਾਲੀਆ,64,2289
assamese,ਅਸਾਮੀ,57,26
astringent,ਕੌੜਾ,307,22
astronomical,ਖਗੋਲੀ,27,21
atmospheric,ਵਾਤਾਵਰਣੀ,9,107
audible,ਮਿੱਠੀ,329,24
australian,ਆਸਟ੍ਰੇਲਿਆਈ,41,1249
austrian,ਆਸਟ੍ਰੇਲਿਆਈ,41,51
autonomous,ਨਿੱਜੀ,9856,181
avid,ਲੋਭੀ,29,132
bactericidal,ਕੀਟਨਾਸ਼ਕ,74,28
bald,ਗੰਜਾ,34,26
bangladeshi,ਬੰਗਲਾਦੇਸ਼ੀ,95,112
banned,ਹਰਾਮ,72,1228
basic,ਮੁਢਲੀ,426,3286
becoming,ਸਮੁੱਚਾ,415,2288
belgian,ਬੈਲਜੀਅਨ,31,45
benevolent,ਪਰਉਪਕਾਰੀ,42,44
bengali,ਬੰਗਾਲੀ,316,380
bhutanese,ਭੂਟਾਨੀ,11,16
bland,ਫਿੱਕੀ,59,57
bleak,ਬੰਜਰ,37,70
bloated,ਸੁੱਜਿਆ,9,31
blunt,ਬੇਝਿਜਕ,28,53
blurred,ਧੁੰਦਲਾ,105,50
blurry,ਧੁੰਦਲਾ,105,35
boiled,ਉਬਲਿਆ,23,454
bonded,ਬੰਧਨ,437,56
booming,ਵਿਕਾਸਸ਼ੀਲ,90,70
boring,ਅਕਾਊ,9,504
bottom,ਤਲ,424,765
bridal,ਵਿਵਾਹਿਕ,37,31
broadband,ਬ੍ਰਾਡਬੈਂਡ,24,135
broken,ਬਰੀਕ,132,965
brute,ਕਸਾਈ,13,27
buddhist,ਬੋਧੀ,100,78
budgetary,ਬਜਟੀ,24,95
bully,ਬਾਂਕਾ,10,38
burned,ਸੜਿਆ,10,239
burnt,ਸੜਿਆ,10,394
canadian,ਕਨੇਡੀਅਨ,17,843
cancelled,ਰੱਦ,7880,1309
candid,ਬੇਝਿਜਕ,28,86
capital,ਵੱਡਾ,18896,4152
capitalist,ਪੂੰਜੀਵਾਦੀ,28,30
capricious,ਮਨਮਾਨੀ,75,48
captivated,ਆਕਰਸ਼ਿਤ,135,27
castrated,ਖੱਸੀ,23,8
catastrophic,ਅਕ੍ਰਿਤਘਣ,811,69
catching,ਸੰਚਾਰੀ,21,150
catholic,ਕੈਥੋਲਿਕ,180,136
causative,ਕਾਰਕ,4130,50
ceremonial,ਧਾਰਮਿਕ,3409,64
charged,ਭਰਪੂਰ,5225,1343
charmed,ਆਕਰਸ਼ਿਤ,135,29
cheerful,ਹੱਸਮੁੱਖ,95,375
chemical,ਰਸਾਇਣਕ,1022,1161
christian,ਈਸਾਈ,293,382
circular,ਗੋਲ,1476,185
civil,ਦੀਵਾਨੀ,40,4508
cleared,ਬਰੀ,929,473
clumsy,ਨਿਕੰਮਾ,123,55
coarse,ਮਿਲਾਵਟੀ,74,47
coherent,ਤਰਕਸੰਗਤ,135,29
colorful,ਰੰਗੇ,272,502
comic,ਕਮੇਡੀ,35,120
comical,ਕਮੇਡੀ,35,21
commissioned,ਨਿਯੁਕਤ,2480,89
common,ਮਿਲਾਵਟੀ,74,11446
communicable,ਸੰਚਾਰੀ,21,25
computerised,ਕੰਪਿਊਟਰੀਕਰਨ,21,22
computerized,ਕੰਪਿਊਟਰੀਕਰਨ,21,42
concealed,ਡੁੱਬਦਾ,10,54
concentrated,ਸੁੰਦਰ,15583,204
connecting,ਸੰਯੋਜਕ,22,468
conscious,ਚੇਤਨ,95,513
consecutive,ਲੜੀਵਾਰ,203,774
considered,ਵਿਚਾਰਿਆ,427,5877
consistent,ਤਰਕਸੰਗਤ,135,553
constituted,ਗਠਿਤ,615,1080
contagious,ਸੰਚਾਰੀ,21,236
contracted,ਇਕੱਠਾ,1399,142
convinced,ਕਾਇਲ,44,675
corporal,ਦੇਹਧਾਰੀ,26,14
corrupted,ਭ੍ਰਿਸ਼ਟਾਚਾਰੀ,13,18
cosmetic,ਸਜਾਵਟੀ,781,394
cracking,ਬਾਂਕਾ,10,80
creative,ਰਚਨਾਤਮਕ,2046,2039
crisp,ਖਸਤਾ,143,102
crispy,ਖਸਤਾ,143,38
critical,ਨੁਕਤਾਚੀਨੀ,258,2542
cultivable,ਕਿਰਸਾਨੀ,20,11
cultural,ਸੰਸਕ੍ਰਿਤਕ,21,3523
cyclic,ਚੱਕਰੀ,10,11
cyclical,ਚੱਕਰੀ,10,19
damaged,ਨੁਕਸਾਨੀ,368,2513
dandy,ਬਾਂਕਾ,10,23
danish,ਡੈਨਿਸ਼,35,191
dazzling,ਚਕਾਚੌਂਧ,9,51
deaf,ਬੋਲਾ,19,56
deceitful,ਦੋਗਲਾ,13,22
decisive,ਨਿਰਣਾਇਕ,233,195
decorative,ਸਜਾਵਟੀ,781,578
decreasing,ਘਟਣਾ,195,169
defeated,ਹਾਰੇ,134,1026
definite,ਪੱਕਾ,2686,262
definitive,ਅਧਿਕਾਰਿਕ,238,152
delighted,ਗਦਗਦ,34,614
demonstrated,ਪ੍ਰਦਰਸ਼ਿਤ,119,227
departmental,ਵਿਭਾਗੀ,405,191
dependant,ਨਿਰਭਰ,9663,18
desolate,ਬੰਜਰ,37,25
devoted,ਪਰਮ,767,395
diabetic,ਸ਼ੂਗਰ,1051,180
dilapidated,ਖਸਤਾ,143,40
dim,ਅਪ੍ਰਤੱਖ,33,37
direct,ਸਿੱਧਾ,2409,2192
disapproved,ਅਸਹਿਮਤ,235,13
discernible,ਦਰਸ਼ਨੀ,18,10
disciplined,ਨੇਮੀ,51,63
disenchanted,ਤਿਆਗੀ,125,13
disgraceful,ਅਪਮਾਨਜਨਕ,303,37
disgruntled,ਬੇਸਬਰਾ,142,22
disgusting,ਈਰਖਾਲੂ,25,182
disinfectant,ਕੀਟਨਾਸ਼ਕ,74,36
disinterested,ਨਿਰਸਵਾਰਥ,54,12
dismayed,ਸੁੰਨ,199,73
disobedient,ਅਣਆਗਿਆਕਾਰੀ,10,10
disruptive,ਸੰਕਟਗ੍ਰਸਤ,18,41
dissatisfied,ਬੇਸਬਰਾ,142,91
dissenting,ਅਸਹਿਮਤ,235,8
dissident,ਵਿਰੋਧੀ,7649,17
divine,ਦੇਵ,3485,273
doubled,ਦੁੱਗਣਾ,117,94
doubtful,ਸ਼ੱਕੀ,1387,96
downtrodden,ਦਲਿਤ,907,44
dramatic,ਨਾਟਕੀ,220,246
drenched,ਲੱਥਪੱਥ,31,17
dubious,ਸ਼ੱਕੀ,1387,71
dull,ਅਕਾਊ,9,199
dumb,ਗੂੰਗਾ,13,154
durable,ਪਾਏਦਾਰ,18,389
dutch,ਡੱਚ,52,107
earned,ਕਮਾਇਆ,117,606
earthy,ਭੂਮੀ,699,10
economic,ਅਰਥਸ਼ਾਸਤਰੀ,42,3118
economical,ਅਰਥਸ਼ਾਸਤਰੀ,42,245
ecstatic,ਗਦਗਦ,34,77
editorial,ਸੰਪਾਦਕੀ,136,76
educated,ਸਿੱਖਿਅਤ,183,413
educational,ਸਿੱਖਿਆਦਾਇਕ,44,2134
egyptian,ਮਿਸਰੀ,53,74
eight,ਅੱਠ,2552,2076
eldest,ਪਲੇਠਾ,16,178
electrifying,ਰੋਮਾਂਚਿਕ,73,10
elegant,ਸਹਿਜ,658,709
eloquent,ਗਾਲੜੀ,22,21
embodied,ਦੇਹਧਾਰੀ,26,49
encouraging,ਉਤਸ਼ਾਹਪੂਰਵਕ,22,369
endorsed,ਸਮਰਥਿਤ,89,83
enlightened,ਸੁਰੱਖਿਅਤ,10522,35
entangled,ਉਲਝਿਆ,32,21
entire,ਭਰਪੂਰ,5225,6941
envious,ਈਰਖਾਲੂ,25,56
equipped,ਲੈਸ,6636,3418
erotic,ਰੰਗੀਨ,571,40
established,ਗਠਿਤ,615,1462
eternal,ਅਨਾਦਿ,51,344
ethiopian,ਇਥੋਪੀਅਨ,13,43
ethnic,ਕਾਫ਼ਰ,15,244
evasive,ਕਠਿਨ,388,9
evergreen,ਸਦਾਬਹਾਰ,77,52
exciting,ਭੜਕਾਊ,363,2103
exhausting,ਥਕਾਊ,17,107
exonerated,ਬਰੀ,929,21
expensive,ਮਹਿੰਗਾ,3860,4118
experimental,ਪ੍ਰਯੋਗਿਕ,14,80
explosive,ਵਿਸਫੋਟਕ,267,186
expressive,ਪੇਸ਼ਕਾਰੀ,385,144
fabulous,ਪੌਰਾਣਿਕ,22,863
facile,ਗਾਲੜੀ,22,25
faint,ਅਪ੍ਰਤੱਖ,33,91
favored,ਲਾਡਲਾ,22,23
feasible,ਕਰਨਯੋਗ,62,193
female,ਮਾਦਾ,881,2119
feminine,ਜਨਾਨਾ,11,214
fertile,ਉਪਜਾਊ,279,105
fibrous,ਰੇਸ਼ੇਦਾਰ,19,35
fifth,ਪੰਜਵੀਂ,433,1029
finnish,ਫਿਨਿਸ਼,9,73
firstborn,ਪਲੇਠਾ,16,12
fixed,ਲੱਗਾ,4598,1234
fleshy,ਵਿਕਰਾਲ,33,11
floating,ਤੈਰਦਾ,11,159
floral,ਫੁੱਲਦਾਰ,110,293
flourishing,ਵਿਕਾਸਸ਼ੀਲ,90,32
foggy,ਧੁੰਦਲਾ,105,60
forested,ਜੰਗਲੀ,934,22
forgetful,ਭੁੱਲੜ,16,19
forgivable,ਮਾਫੀ,395,9
forthcoming,ਆਗਾਮੀ,562,465
forthright,ਬੇਝਿਜਕ,28,24
foster,ਪਾਲਣਹਾਰ,19,91
foul,ਈਰਖਾਲੂ,25,137
found,ਚਲਾਉਣਾ,391,12892
fourth,ਚੌਥਾ,668,2015
frank,ਬੇਝਿਜਕ,28,133
friendly,ਦੋਸਤਾਨਾ,2696,5787
frightened,ਘਬਰਾਇਆ,279,365
front,ਵੱਲ,13977,3260
fulfilled,ਭਰਪੂਰ,5225,989
full,ਖਚਾ-ਖਚ,11,6752
functional,ਅਸਲੀ,6479,560
funny,ਕਮੇਡੀ,35,2222
fuzzy,ਧੁੰਦਲਾ,105,46
geographic,ਭੂਗੋਲਿਕ,390,60
geographical,ਭੂਗੋਲਿਕ,390,268
german,ਜਰਮਨ,922,896
glittering,ਚਮਕਦਾ,113,27
glossy,ਰੇਸ਼ਮੀ,9,109
godly,ਦੇਵ,3485,14
gorgeous,ਚਮਕੀਲਾ,227,1514
gothic,ਗੋਥਿਕ,58,80
governmental,ਸਰਕਾਰੀ,13230,44
grammatical,ਵਿਆਕਰਨਿਕ,13,47
grateful,ਤ੍ਰਿਪਤ,477,1987
greenish,ਹਰਾ,1807,35
groovy,ਬਾਂਕਾ,10,12
guaranteed,ਬੰਧਨ,437,452
halal,ਹਲਾਲ,13,14
hardworking,ਮਿਹਨਤੀ,692,144
hazy,ਧੁੰਦਲਾ,105,26
healthful,ਸੰਤੁਲਿਤ,1584,81
homeless,ਬੇਘਰ,240,155
hopeless,ਨਿਰਾਸ਼ਾਜਨਕ,157,80
humorous,ਮਜ਼ਾਕੀਆ,15,59
humourous,ਮਜ਼ਾਕੀਆ,15,8
hundredth,ਸੌਵਾਂ,35,16
hungry,ਭੁੱਖਾ,177,601
idealistic,ਆਦਰਸ਼ਵਾਦੀ,9,19
ill,ਬੁਰਾ,5760,931
illuminating,ਪ੍ਰਕਾਸ਼ਕ,32,8
imperceptible,ਅਗਿਆਤ,101,12
imperial,ਰਾਜਸੀ,434,87
impervious,ਅਗਮ,25,11
impoverished,ਬੇਸਹਾਰਾ,202,24
impregnable,ਅਭੇਦ,47,10
impulsive,ਮਨਮਾਨੀ,75,29
inane,ਨਿਆਣਾ,12,10
incompetent,ਨਾਲਾਇਕ,9,48
inconsequential,ਬੇਕਾਰ,1443,29
inconvenient,ਅਸੁਵਿਧਾਜਨਕ,48,79
incorporate,ਸ਼ਾਮਿਲ,2844,154
incorporated,ਸ਼ਾਮਿਲ,2844,187
incorrect,ਗਲਤ,11604,691
increasing,ਵੱਧਦਾ,1033,4492
indonesian,ਇੰਡੋਨੇਸ਼ੀਆਈ,21,140
industrial,ਉਦਯੋਗਿਕ,1434,1373
industrialized,ਉਦਯੋਗਿਕ,1434,12
industrious,ਮਿਹਨਤੀ,692,19
ineligible,ਅਯੋਗ,336,38
inert,ਮੰਦ,25,12
inexpensive,ਸਸਤਾ,2252,655
infamous,ਬਦਨਾਮ,411,52
infected,ਸੰਕ੍ਰਮਿਤ,337,1338
infertile,ਬਾਂਝ,19,12
inimical,ਅਣਜਾਣ,844,9
innate,ਜਨਮਜਾਤ,11,45
insipid,ਫਿੱਕੀ,59,10
inspirational,ਪ੍ਰੇਰਣਾਦਾਇਕ,110,96
inspiring,ਪ੍ਰੇਰਕ,289,316
instinctive,ਸੁਭਾਵਿਕ,258,15
institutional,ਸੰਸਥਾਗਤ,237,148
intellectual,ਬੁੱਧੀਜੀਵੀ,45,221
interfering,ਵਿਰੋਧੀ,7649,59
interim,ਅੰਤਰਿਮ,503,490
intolerable,ਅਸਹਿਣਯੋਗ,20,48
invincible,ਅਜਿੱਤ,21,35
iranian,ਈਰਾਨੀ,216,265
iraqi,ਇਰਾਕੀ,107,108
irksome,ਅਕਾਊ,9,8
irregular,ਅਨਿਯਮਤ,40,47
israeli,ਇਸਰਾਇਲੀ,12,285
jain,ਜੈਨੀ,22,113
japanese,ਜਪਾਨੀ,258,698
jealous,ਈਰਖਾਲੂ,25,175
jewish,ਯਹੂਦੀ,280,128
jihadi,ਜਿਹਾਦੀ,23,11
jobless,ਬੇਰੋਜਗਾਰ,16,70
joyous,ਅਨੰਦਮਈ,183,142
kashmiri,ਕਸ਼ਮੀਰੀ,333,279
khaki,ਖਾਕੀ,34,32
knowing,ਸੁਰੱਖਿਅਤ,10522,545
knowledgeable,ਸੁਰੱਖਿਅਤ,10522,371
lacking,ਅਸੰਭਵ,3356,171
lacy,ਜਾਲੀਦਾਰ,25,8
land,ਜਮੀਨੀ,24,3727
laughable,ਕਮੇਡੀ,35,26
lax,ਢਿੱਲਾ,109,22
lay,ਧਰਮਨਿਰਪੱਖ,12,613
lazy,ਆਲਸੀ,832,269
leafy,ਪੱਤੇਦਾਰ,202,144
learned,ਸੁਰੱਖਿਅਤ,10522,1484
least,ਥੋੜ੍ਹਾ,4470,19109
legal,ਕਾਨੂੰਨੀ,6062,4084
legislative,ਵਿਧਾਨਿਕ,55,622
legitimate,ਜਾਇਜ,89,294
lethal,ਮਾਰਕ,566,102
liberated,ਮੁਕਤ,1456,44
licenced,ਨਿਯੁਕਤ,2480,8
licensed,ਨਿਯੁਕਤ,2480,188
linguistic,ਭਾਸ਼ਾਈ,16,48
literary,ਸਾਹਿਤਿਕ,43,411
loaded,ਟੱਲੀ,39,268
local,ਸਥਾਨਿਕ,170,7546
located,ਸਥਿਤ,10018,6291
lonely,ਇਕਲਾ,42,384
loving,ਪ੍ਰੇਮੀ,1479,1315
loyal,ਦੇਸ਼ਭਗਤ,17,210
lucid,ਪਾਰਦਰਸ਼ੀ,304,48
ludicrous,ਬਦਨਾਮ,411,52
lush,ਰਸੀਲਾ,26,108
lymphatic,ਲਾਰ,49,19
macho,ਮਰਦਾਨਾ,44,9
magnanimous,ਉਦਾਰ,95,17
magnetic,ਚੁੰਬਕੀ,97,95
majestic,ਰਾਜਸੀ,434,112
male,ਨਰ,196,1221
malnourished,ਕੁਪੋਸ਼ਿਤ,14,22
mammary,ਸਤਨ,50,29
mangled,ਫਟਿਆ,28,41
manly,ਮਰਦਾਨਾ,44,22
marked,ਅੰਕਿਤ,195,330
marshy,ਦਲਦਲੀ,13,12
maximum,ਜ਼ਿਆਦਾਤਰ,2051,2616
mechanical,ਯੰਤਰਿਕ,91,662
meddling,ਵਿਰੋਧੀ,7649,31
merged,ਸ਼ਾਮਿਲ,2844,131
metal,ਧਾਤੂ,229,922
metallic,ਧਾਤੂ,229,52
metropolitan,ਮਹਾਂਨਗਰੀ,19,264
mexican,ਮੈਕਸੀਕਨ,76,139
migrant,ਪ੍ਰਵਾਸੀ,767,494
milch,ਦੁਧਾਰੂ,28,15
military,ਸੈਨਿਕ,915,3044
million,ਮਿਲੀਅਨ,1659,3110
mined,ਮਾਈਨਿੰਗ,374,22
mineral,ਖਣਿਜ,1349,650
minuscule,ਛੋਟਾ,5658,21
missing,ਅਸੰਭਵ,3356,2060
missionary,ਮਿਸ਼ਨਰੀ,33,31
misty,ਧੁੰਦਲਾ,105,9
mobile,ਵਣਜਾਰਾ,11,4221
moderate,ਮੱਧਮ,957,545
molecular,ਸੂਖਮ,354,46
monthly,ਮਾਸਿਕ,206,495
motivated,ਪ੍ਰੇਰਿਤ,2936,435
mysterious,ਰਹੱਸਮਈ,457,410
mystic,ਰਹੱਸਮਈ,457,14
mystical,ਰਹੱਸਮਈ,457,76
mythical,ਪੌਰਾਣਿਕ,22,35
mythological,ਪੌਰਾਣਿਕ,22,29
neat,ਬਾਂਕਾ,10,491
neglected,ਅਣਦੇਖਿਆ,56,162
negligent,ਲਾਪਰਵਾਹੀ,707,122
nepalese,ਨੇਪਾਲੀ,186,91
nepali,ਨੇਪਾਲੀ,186,102
netted,ਜਾਲੀਦਾਰ,25,18
newborn,ਨਵ-ਜੰਮੇ,49,499
next,ਅਗਲਾ,1891,10321
nifty,ਬਾਂਕਾ,10,164
ninth,ਨੌਵਾਂ,44,166
nitric,ਨਾਈਟ੍ਰਿਕ,12,11
nomadic,ਵਣਜਾਰਾ,11,10
norse,ਨਾਰਵੇਜੀਅਨ,23,8
northern,ਉਤਰੀ,412,1205
norwegian,ਨਾਰਵੇਜੀਅਨ,23,74
notable,ਵਿਚਾਰਨਯੋਗ,128,388
noteworthy,ਵਿਚਾਰਨਯੋਗ,128,266
notorious,ਬਦਨਾਮ,411,83
numeric,ਸੰਖਿਆਤਮਕ,63,18
numerical,ਸੰਖਿਆਤਮਕ,63,67
nuptial,ਵਿਵਾਹਿਕ,37,9
obedient,ਆਗਿਆਕਾਰੀ,44,57
obese,ਬੇਡੌਲ,22,155
objectionable,ਇਤਰਾਜਯੋਗ,9,123
oblivious,ਭੁੱਲੜ,16,70
obnoxious,ਇਤਰਾਜਯੋਗ,9,48
observable,ਦਰਸ਼ਨੀ,18,11
occult,ਰਹੱਸਮਈ,457,19
ocular,ਮੋਤੀਆ,37,18
odorless,ਗੰਧਹੀਣ,12,14
official,ਦਫ਼ਤਰੀ,80,8002
ominous,ਬੁਰਾ,5760,52
operable,ਅਸਲੀ,6479,8
operational,ਅਸਲੀ,6479,372
opportunistic,ਮੌਕਾਪ੍ਰਸਤ,34,22
opposed,ਵਿਰੋਧੀ,7649,976
oppressive,ਬੇਇਨਸਾਫੀ,121,27
optic,ਮੋਤੀਆ,37,15
optical,ਮੋਤੀਆ,37,70
optimistic,ਆਸ਼ਾਵਾਦੀ,34,202
orange,ਨਾਰੰਗੀ,33,576
ordered,ਤਰਕਸੰਗਤ,135,2855
orderly,ਤਰਕਸੰਗਤ,135,50
organic,ਜੀਵੰਤ,134,554
original,ਦੇਸੀ,518,1601
ornamental,ਸਜਾਵਟੀ,781,24
outside,ਬਾਹਰ,15836,3770
outspoken,ਬੇਝਿਜਕ,28,29
oval,ਅੰਡਾਕਾਰ,12,120
overweight,ਵਿਕਰਾਲ,33,461
pagan,ਕਾਫ਼ਰ,15,13
panicked,ਘਬਰਾਇਆ,279,93
panicky,ਘਬਰਾਇਆ,279,21
parasitic,ਪਰਜੀਵੀ,202,36
patient,ਸ਼ਾਂਤ,1549,3396
patriotic,ਦੇਸ਼ਭਗਤ,17,115
pending,ਵਿਚਾਰਅਧੀਨ,27,1147
perceptible,ਪ੍ਰਤੱਖ,284,8
perfumed,ਖੁਸ਼ਬੂਦਾਰ,23,9
periodic,ਨਿਸ਼ਚਿਤ,472,47
periodical,ਨਿਸ਼ਚਿਤ,472,12
perpendicular,ਖੜਾ,1364,9
perpetual,ਅਨਾਦਿ,51,24
persian,ਈਰਾਨੀ,216,144
pessimistic,ਨਿਰਾਸ਼ਾਵਾਦੀ,11,42
pet,ਲਾਡਲਾ,22,900
pharmaceutical,ਔਸ਼ਧੀ,49,320
philippine,ਫਿਲਪੀਨਜ਼,20,34
pissed,ਟੱਲੀ,39,185
placed,ਸਥਿਤ,10018,1703
plastered,ਟੱਲੀ,39,39
plotted,ਆਯੋਜਿਤ,1319,15
plus,ਧਨ,1160,800
poisonous,ਜ਼ਹਿਰੀਲਾ,78,280
polish,ਪੋਲਿਸ਼,11,126
pop,ਉੱਠਣਾ,45,293
porous,ਭੰਗ,997,28
portuguese,ਪੁਰਤਗਾਲੀ,90,53
practicable,ਕਰਨਯੋਗ,62,11
praising,ਸਵਾਗਤੀ,81,91
preferred,ਲਾਡਲਾ,22,342
premature,ਬੇਵਕਤ,9,93
prescribed,ਅਨੁਸਾਰ,26567,1043
presidential,ਪ੍ਰਧਾਨਗੀ,2681,838
preventative,ਨਿਵਾਰਕ,69,28
preventive,ਨਿਵਾਰਕ,69,431
previous,ਸਾਬਕਾ,17499,1702
projected,ਪ੍ਰਸਤਾਵਿਤ,565,129
promised,ਵਚਨਬੱਧ,1533,961
promising,ਹੋਣਹਾਰ,370,262
prompt,ਤੁਰੰਤ,13649,315
prophylactic,ਨਿਵਾਰਕ,69,24
proportional,ਤੁਲਨਾਤਮਕ,94,40
proposed,ਪ੍ਰਸਤਾਵਿਤ,565,1146
protected,ਮਹਿਫੂਜ਼,15,847
provincial,ਰਾਜਕੀ,16,225
published,ਪ੍ਰਕਾਸ਼ਿਤ,667,2175
puffed,ਸੁੱਜਿਆ,9,11
purple,ਰਾਜਸੀ,434,257
quadrilateral,ਚਤੁਰਭੁਜ,34,8
quarterly,ਤਿਮਾਹੀ,418,46
queer,ਸਮਲਿੰਗੀ,142,43
rainy,ਬਰਸਾਤੀ,222,290
rapid,ਤੇਜ਼,3351,795
rapt,ਗਦਗਦ,34,13
real,ਅਸਥਾਈ,909,10854
rear,ਗੈਲ,10,610
reassured,ਬੇਫਿਕਰ,31,46
reclining,ਲੇਟਿਆ,17,10
rectangular,ਆਯਾਤਕਾਰ,9,51
recurrent,ਦੁਹਰਾਇਆ,930,14
reflected,ਪਰਿਵਰਤਿਤ,17,242
regal,ਰਾਜਸੀ,434,13
registered,ਰਜਿਸਟਰਡ,881,29032
relative,ਤੁਲਨਾਤਮਕ,94,407
relevant,ਪ੍ਰਸੰਗਿਕ,45,1917
removed,ਪਹਿਲਾਂ,71175,1954
renewable,ਨਵੀਨੀਕਰਣ,25,112
repeated,ਦੁਹਰਾਇਆ,930,889
repellent,ਈਰਖਾਲੂ,25,31
requested,ਪੂਜਨੀਕ,25,1747
retiring,ਨਿਮਾਣਾ,21,48
revolting,ਈਰਖਾਲੂ,25,8
ridiculous,ਬਦਨਾਮ,411,358
roaring,ਗਰਜ,94,29
rose,ਗੁਲਾਬੀ,1081,968
round,ਗੋਲ,1476,1378
rugged,ਸੰਘਰਸ਼ਮਈ,11,31
runny,ਤਰਲ,1840,92
satisfied,ਰਾਜਾ,1636,1576
saturated,ਲੱਥਪੱਥ,31,399
saucy,ਢੀਠ,188,9
saudi,ਸਾਉਦੀ,30,616
scented,ਖੁਸ਼ਬੂਦਾਰ,23,13
scholastic,ਸਕੂਲੀ,1439,11
scientific,ਵਿਗਿਆਨਕ,1337,1231
scintillating,ਚਮਕਦਾ,113,47
sealed,ਸੀਲਬੰਦ,57,386
seasonal,ਮੌਸਮੀ,317,165
seated,ਵਿਰਾਜਮਾਨ,15,221
sectarian,ਸੰਪਰਦਾਇਕ,11,23
secular,ਧਰਮਨਿਰਪੱਖ,12,188
secured,ਬੰਧਨ,437,587
seeded,ਬੀਜੀ,52,46
selfish,ਸਵਾਰਥੀ,99,137
semantic,ਅਰਥੀ,119,23
sensational,ਸਨਸਨੀਖੇਜ,18,117
sensitive,ਭਾਵਨਾਤਮਕ,660,1081
separated,ਵੱਖਰਾ,4700,286
septic,ਸੰਕ੍ਰਮਿਤ,337,42
sequential,ਲੜੀਵਾਰ,203,15
