Word,Translation,Frequency,English frequency
serbian,ਸਰਬਿਆਈ,26,25
serial,ਲੜੀਵਾਰ,203,182
sexual,ਯੌਨ,168,1668
shady,ਛਾਂਦਾਰ,24,31
shaky,ਪੁਰਾਣਾ,1053,56
shallow,ਸਤਹੀ,143,168
shameful,ਅਪਮਾਨਜਨਕ,303,281
shameless,ਬੇਸ਼ਰਮ,21,25
shattered,ਚੂਰ-ਚੂਰ,15,213
shocked,ਸੁੰਨ,199,1070
short,ਛੋਟਾ,5658,3133
shy,ਸ਼ਰਮਾਕਲ,129,377
siamese,ਥਾਈ,121,8
silky,ਰੇਸ਼ਮੀ,9,41
silver,ਚਾਂਦੀ,1905,2371
sitting,ਵਿਰਾਜਮਾਨ,15,1824
situated,ਸਥਿਤ,10018,790
slack,ਬੁਝਾਉਣਾ,14,13
sleek,ਰੇਸ਼ਮੀ,9,38
slick,ਰੇਸ਼ਮੀ,9,30
sloppy,ਦਲਦਲੀ,13,19
sluggish,ਮੰਦ,25,53
smashed,ਟੱਲੀ,39,160
smashing,ਬਾਂਕਾ,10,29
soaking,ਲੱਥਪੱਥ,31,82
social,ਸਮਾਜਿਕ,4441,17070
socialist,ਸਮਾਜਵਾਦੀ,515,113
societal,ਸਮਾਜਿਕ,4441,41
soluble,ਘੁਲਣਸ਼ੀਲ,21,108
somali,ਸੋਮਾਲੀ,10,30
sordid,ਗੰਦਾ,191,10
southern,ਦੱਖਣੀ,5265,903
sparkly,ਚਮਕਦਾ,113,15
speaking,ਬੋਲਦਾ,543,2984
speedy,ਤੇਜ਼,3351,341
spiteful,ਈਰਖਾਲੂ,25,10
sporadic,ਛੋਟੀਆਂ-ਮੋਟੀਆਂ,16,36
spurious,ਦੋਗਲਾ,13,143
staged,ਅਭਿਨੀਤ,9,574
stated,ਤਸਦੀਕ,385,2780
sterile,ਬਾਂਝ,19,25
stewed,ਉਬਲਿਆ,23,22
sticky,ਲੇਸਦਾਰ,53,130
stiff,ਟੱਲੀ,39,176
stinky,ਬਦਬੂਦਾਰ,17,10
straightaway,ਤੁਰੰਤ,13649,9
strategic,ਕੂਟਨੀਤਕ,280,607
strung,ਪਾਬੰਦ,89,8
stubborn,ਅੜੀਅਲ,116,155
stuffed,ਭਰਵਾ,31,48
stunning,ਸਨਸਨੀਖੇਜ,18,1049
submerged,ਕਾਈ,25,165
successive,ਲੜੀਵਾਰ,203,124
succulent,ਰਸੀਲਾ,26,22
sugary,ਮਿੱਠਾ,613,215
suicidal,ਆਤਮਘਾਤੀ,551,65
supposed,ਪਾਖੰਡੀ,86,2609
supreme,ਪਰਮ,767,5070
surrogate,ਪਾਲਣਹਾਰ,19,24
suspended,ਮੁਲਤਵੀ,960,1893
swampy,ਦਲਦਲੀ,13,10
swedish,ਸਵੀਡਿਸ਼,17,176
swell,ਬਾਂਕਾ,10,69
tactical,ਰਣਨੀਤੀਕ,17,38
tai,ਥਾਈ,121,29
taiwanese,ਚੀਨੀ,3282,24
talking,ਬੋਲਦੀ,219,4313
tame,ਡਰਪੋਕ,79,64
tamil,ਤਾਮਿਲ,576,1590
taxable,ਟੈਕਸਯੋਗ,25,44
technological,ਉਦਯੋਗਿਕ,1434,282
tedious,ਅਕਾਊ,9,131
tenth,ਦਸਵਾਂ,20,146
terminal,ਮਿਆਦੀ,15,283
terrified,ਘਬਰਾਇਆ,279,339
territorial,ਖੇਤਰੀ,1324,186
tested,ਜਾਂਚਿਆ,41,1352
thai,ਥਾਈ,121,57
thankful,ਤ੍ਰਿਪਤ,477,1424
thirsty,ਪਿਆਸਾ,53,91
thoughtful,ਵਿਚਾਰਵਾਨ,73,246
thrilled,ਰੋਮਾਂਚਿਤ,845,457
thrilling,ਰੋਮਾਂਚਿਕ,73,166
thriving,ਵਿਕਾਸਸ਼ੀਲ,90,50
tibetan,ਤਿੱਬਤੀ,81,49
tiresome,ਅਕਾਊ,9,21
tiring,ਥਕਾਊ,17,99
torn,ਫਟਿਆ,28,180
torrential,ਮੋਹਲੇਧਾਰ,122,93
tortured,ਸਤਾਏ,45,138
total,ਭਰਪੂਰ,5225,9960
touched,ਛੂਹਿਆ,64,370
tough,ਸੰਘਰਸ਼ਮਈ,11,2116
traditionalist,ਪਰੰਪਰਾਵਾਦੀ,74,14
translucent,ਪਾਰਦਰਸ਼ੀ,304,34
transparent,ਪਾਰਦਰਸ਼ੀ,304,610
treated,ਨਿਰੋਗ,53,2969
tricolor,ਤਿਰੰਗਾ,173,26
tried,ਜਾਂਚਿਆ,41,3511
trillion,ਬਿਲੀਅਨ,276,75
tropical,ਊਸ਼ਣਕਟੀਬੰਧੀ,10,188
truncated,ਕੱਟਿਆ,1717,8
trustful,ਵਿਸ਼ਵਾਸੀ,18,8
trusting,ਵਿਸ਼ਵਾਸੀ,18,191
tumultuous,ਸੰਕਟਗ੍ਰਸਤ,18,21
turbulent,ਸੰਕਟਗ੍ਰਸਤ,18,57
turkish,ਤੁਰਕੀ,993,273
turned,ਫਟਿਆ,28,4332
twofold,ਦੁੱਗਣਾ,117,18
typical,ਪ੍ਰਸਿੱਧ,6804,727
unaccountable,ਜਵਾਬਦੇਹ,214,8
unanimous,ਇਕਮੱਤ,13,156
unarmed,ਨਿਹੱਥੇ,229,31
unassailable,ਅਭੇਦ,47,42
unassuming,ਨਿਮਾਣਾ,21,16
unattended,ਅਣਦੇਖਿਆ,56,28
unattractive,ਭੱਦਾ,22,28
unavailable,ਅਪ੍ਰਾਪਤ,17,55
unbearable,ਅਸਹਿਣਯੋਗ,20,70
unbeatable,ਅਜਿੱਤ,21,25
unbeaten,ਅਜਿਤ,90,126
unbridled,ਬੇਲਗਾਮ,46,8
unchecked,ਬੇਲਗਾਮ,46,8
unclaimed,ਲਾਵਾਰਿਸ,62,12
unconstitutional,ਅਸੰਵਿਧਾਨਕ,38,220
uncontrolled,ਬੇਕਾਬੂ,412,59
underwater,ਕਾਈ,25,55
unending,ਅਨਾਦਿ,51,14
unfaithful,ਗੱਦਾਰ,311,15
unfriendly,ਅਣਜਾਣ,844,15
ungrateful,ਅਕ੍ਰਿਤਘਣ,811,24
unheard,ਅਣਸੁਣੀ,32,40
unidentified,ਗੁਮਨਾਮ,41,2023
unified,ਸ਼ਾਮਿਲ,2844,99
uninjured,ਤੰਦਰੁਸਤ,4202,20
unnamed,ਗੁਮਨਾਮ,41,54
unofficial,ਗੈਰਸਰਕਾਰੀ,9,41
unprecedented,ਅਸਾਧਾਰਣ,1028,283
unresolved,ਅਣਸੁਲਝਿਆ,12,46
unrestricted,ਕਰਨਯੋਗ,62,9
unsatisfied,ਅਸੰਤੁਸ਼ਟ,40,30
unsavoury,ਨਾਪਸੰਦ,164,10
unsolved,ਅਣਸੁਲਝਿਆ,12,21
unstoppable,ਬੇਰੋਕ,86,33
untimely,ਬੇਵਕਤ,9,170
untiring,ਮਿਹਨਤੀ,692,24
unwavering,ਸਪਾਟ,209,10
upcoming,ਆਗਾਮੀ,562,2546
urdu,ਉਰਦੂ,366,268
usable,ਅਸਲੀ,6479,58
useable,ਅਸਲੀ,6479,12
used,ਜੂਠਾ,9,16558
vague,ਅਪ੍ਰਤੱਖ,33,111
various,ਰੰਗਾਰੰਗ,457,12022
vedic,ਵੈਦਿਕ,59,51
vehicular,ਵਾਹਨ,4979,131
verified,ਪ੍ਰਮਾਣਿਤ,534,253
versatile,ਰੰਗਾਰੰਗ,457,271
vertical,ਖੜਾ,1364,140
viable,ਕਰਨਯੋਗ,62,175
victorian,ਵਿਕਟੋਰੀਅਨ,16,29
victorious,ਜੇਤੂ,4605,189
vietnamese,ਵੀਅਤਨਾਮੀ,29,46
viii,ਅੱਠ,2552,148
vindicated,ਬਰੀ,929,10
vindictive,ਈਰਖਾਲੂ,25,19
viral,ਵਾਇਰਲ,6629,5862
viscous,ਲੇਸਦਾਰ,53,23
vitiated,ਭ੍ਰਿਸ਼ਟਾਚਾਰੀ,13,9
voiced,ਘੋਸ਼,187,130
volcanic,ਜਵਾਲਾਮੁਖੀ,88,35
vulgar,ਮਿਲਾਵਟੀ,74,45
wandering,ਵਣਜਾਰਾ,11,30
wanting,ਅਸੰਭਵ,3356,593
warranted,ਬੰਧਨ,437,62
waterlogged,ਦਲਦਲੀ,13,123
watery,ਪਤਲਾ,332,53
wearing,ਬੰਨ੍ਹਣ,88,1439
weeping,ਸੋਗਮਈ,22,52
westerly,ਪੱਛਮੀ,4932,15
wet,ਟੱਲੀ,39,509
whatever,ਜਿੰਨਾ,2978,1591
whatsoever,ਜਿੰਨਾ,2978,388
whimsical,ਮਨਮਾਨੀ,75,51
wholesale,ਥੋਕ,180,88
winning,ਜੇਤੂ,4605,2141
wobbly,ਪੁਰਾਣਾ,1053,10
wonky,ਪੁਰਾਣਾ,1053,12
woolen,ਗਰਮ,8734,41
workable,ਕਰਨਯੋਗ,62,41
worldwide,ਵਿਸ਼ਵਵਿਆਪੀ,49,1128
worse,ਬੁਰਾ,5760,3036
worshipped,ਪੂਜਣਯੋਗ,12,107
worthy,ਯੋਗ,8941,509
written,ਕਾਗਜ਼ੀ,41,4982
wrong,ਗਲਤ,11604,9563
yogic,ਯੋਗਿਕ,19,11
young,ਕੱਟਾ,41,6781
across,ਪਾਰ,2288,6871
afoot,ਪੈਦਲ,1017,61
ago,ਪਹਿਲਾਂ,71175,1784
alone,ਇਕੱਲਾ,3050,5204
anymore,ਹੁਣ,734,2369
apace,ਫੋਰਨ,10,14
attentively,ਸਾਵਧਾਨੀਪੂਰਵਕ,64,56
barely,ਅਲਪ,12,206
behind,ਪਿੱਛੇ-ਪਿੱਛੇ,63,4811
consequently,ਫਲਸਰੂਪ,280,2102
decent,ਸਿੱਧਾ,2409,609
decently,ਸਿੱਧਾ,2409,29
deep,ਗਹਿਰਾਈ,226,2103
deeply,ਗਹਿਰਾਈ,226,1345
early,ਜਲਦੀ,11953,3786
easy,ਧੀਮਾ,12,21424
enough,ਬੱਸ,7461,8119
especially,ਖਾਸਕਰ,118,3135
firm,ਇਰਾਦਾਤਨ,10,1424
flat,ਬੇਝਿਜਕ,28,696
forward,ਅੱਗੇ,211,2221
fully,ਖਚਾ-ਖਚ,11,3549
gracefully,ਸੱਭਿਅਕ,122,15
hardly,ਅਲਪ,12,655
independently,ਆਜਾਦੀ,53,448
left,ਖੱਬੇ,1008,6739
mutually,ਪਰਸਪਰ,187,203
plenty,ਬੱਸ,7461,2100
properly,ਸਿੱਧਾ,2409,2236
rapidly,ਫੋਰਨ,10,1388
regularly,ਨਿਯਮਤ,1555,1531
right,ਸਿੱਧਾ,2409,24150
safely,ਸੁਰੱਖਿਅਤ,10522,804
scarce,ਅਲਪ,12,74
scarcely,ਅਲਪ,12,24
secretly,ਚੁੱਪਚਾਪ,115,65
silently,ਚੁੱਪਚਾਪ,115,91
slow,ਧੀਮਾ,12,1228
slowly,ਧੀਮਾ,12,1732
solo,ਇਕੱਲਾ,3050,123
specially,ਖਾਸਕਰ,118,365
speedily,ਫੋਰਨ,10,34
steadfastly,ਇਰਾਦਾਤਨ,10,15
supra,ਉਪਰ,3826,9
thereafter,ਉਪਰੰਤ,4967,1842
thither,ਉੱਧਰ,749,13
throughout,ਸੰਪੂਰਨ,1379,2933
tightly,ਖਚਾਖਚ,30,133
tomorrow,ਕੱਲ,412,42
unaccompanied,ਇਕੱਲਾ,3050,12
vaguely,ਅਸਪੱਸ਼ਟ,36,11
yesterday,ਕੱਲ,412,44
abbreviation,ਸੰਖੇਪ,3381,48
abduction,ਅਗਵਾਹ,40,135
abortion,ਗਰਭਪਾਤ,629,320
accent,ਬੋਲੀ,1084,118
account,ਰਿਪੋਰਟ,11652,6178
accountant,ਲੇਖਾਕਾਰ,29,62
acknowledgement,ਮਾਨਤਾ,2699,51
acne,ਮੁਹਾਸੇ,124,428
acquaintance,ਪਹਿਚਾਣ,1247,92
action,ਕੁਦਰਤੀ,7574,15227
ad,ਇਸ਼ਤਿਹਾਰ,243,191
adaptation,ਅਨੁਕੂਲਣ,120,148
admiral,ਜਲਸੈਨਾ,11,117
admission,ਦਾਖਲਾ,3555,5101
admittance,ਦਾਖਲਾ,3555,40
adolescent,ਬਾਲਿਕਾ,20,77
adoration,ਭਗਤੀ,252,15
adornment,ਬਣਨਾ,2087,10
adversary,ਵਿਰੋਧੀ,7649,14
advertisement,ਇਸ਼ਤਿਹਾਰ,243,199
advertising,ਇਸ਼ਤਿਹਾਰ,243,783
affirmation,ਪੁਸ਼ਟੀ,3433,36
afternoon,ਦੁਪਹਿਰ,1852,869
ag,ਚਾਂਦੀ,1905,69
airplane,ਜਹਾਜ਼,2742,111
alum,ਗ੍ਰੈਜੂਏਟ,653,15
alumnus,ਗ੍ਰੈਜੂਏਟ,653,48
ambulance,ਐਂਬੂਲੈਂਸ,1063,750
anil,ਨੀਲ,330,1772
annapurna,ਅੰਨਪੂਰਣਾ,10,24
antagonist,ਵਿਰੋਧੀ,7649,102
anus,ਗੁੱਦਾ,37,69
aphorism,ਸੂਤਰ,507,10
applicant,ਉਮੀਦਵਾਰ,8433,596
application,ਅਰਜੀ,174,6151
aquarius,ਕੁੰਭ,134,30
arabia,ਅਰਬ,1839,408
archaeology,ਪੁਰਾਤਤਵ,16,31
archeology,ਪੁਰਾਤਤਵ,16,13
aries,ਮੇਖ,100,29
arithmetic,ਹਿਸਾਬ,1513,15
arjuna,ਅਰਜੁਨ,1991,146
armory,ਹਥਿਆਰ,2975,9
arrest,ਫੜਨਾ,77,3460
arsenal,ਹਥਿਆਰ,2975,74
artery,ਧਮਨੀ,15,153
artwork,ਦਸਤਕਾਰੀ,76,146
asia,ਏਸ਼ੀਆ,1092,1666
ass,ਗਧਾ,9,39
assailant,ਹਮਲਾਵਰ,2231,91
assaulter,ਹਮਲਾਵਰ,2231,12
assembly,ਜਨਸਭਾ,37,7277
assertion,ਪੁਸ਼ਟੀ,3433,118
asshole,ਗੁੱਦਾ,37,12
assurance,ਦਿਲਾਸਾ,200,218
asthma,ਸਾਹ,5414,646
astrologer,ਪੰਡਿਤ,270,8
astrology,ਜੋਤਿਸ਼,15,66
attacker,ਹਮਲਾਵਰ,2231,369
attraction,ਆਕਰਸ਼ਣ,39,364
attractiveness,ਆਕਰਸ਼ਣ,39,67
audacity,ਜਿੱਦੀ,10,28
august,ਅਗਸਤ,19,30
aunt,ਚਾਚੀ,99,79
aunty,ਚਾਚੀ,99,20
author,ਲੇਖਕ,3972,1629
automation,ਮਸ਼ੀਨੀਕਰਨ,24,99
autopsy,ਪੋਸਟਮਾਰਟਮ,5982,858
autumn,ਪੱਤਝੜ,12,723
aviation,ਹਵਾਈ,8311,592
bachelor,ਕੁਆਰਾ,42,299
backbone,ਰੀੜ,185,222
baddie,ਖਲਨਾਇਕ,91,9
baldness,ਗੰਜਾਪਨ,13,74
banana,ਕੇਲਾ,131,223
bank,ਬੈਂਕ,9434,6626
banknote,ਨੌਟ,14,11
barber,ਨਾਈ,23,20
bark,ਛਿਲਕਾ,31,82
barometer,ਬੈਰੋਮੀਟਰ,30,31
barren,ਕੱਲਰ,19,28
basil,ਤੁਲਸੀ,200,139
bath,ਬਾਥਰੂਮ,8104,1529
bathroom,ਬਾਥਰੂਮ,8104,4721
beak,ਚੁੰਝ,43,18
bearer,ਧਾਰਕ,369,32
beast,ਕਸਾਈ,13,88
begging,ਭੀਖ,77,73
beginner,ਮੋਢੀ,75,58
belching,ਡਕਾਰ,42,9
benny,ਤਿਲ,247,9
bhutan,ਭੂਟਾਨ,261,210
bigotry,ਕੱਟੜਤਾ,52,18
bihari,ਬਿਹਾਰੀ,415,331
binding,ਆਵਰਣ,9,123
binoculars,ਦੂਰਬੀਨ,39,13
biology,ਬਾਇਓਲਾਜੀ,18,263
biomass,ਬਾਲਣ,568,26
biopsy,ਜਾਂਚ,43163,57
bird,ਫਰਾਟਾ,22,577
birthright,ਵਿਰਾਸਤ,908,10
bite,ਜ਼ਖਮ,69,232
bodice,ਝੋਲੀ,182,9
bondage,ਗੁਲਾਮੀ,78,16
bonus,ਬੋਨਸ,353,216
boo,ਫਰਾਟਾ,22,24
boom,ਗਰਜ,94,68
bounce,ਕੁੱਦਣਾ,10,75
bouquet,ਗੁਲਦਸਤਾ,147,115
boxing,ਧੱਕਾ-ਮੁੱਕੀ,81,335
brahmaputra,ਬ੍ਰਹਮਪੁੱਤਰ,39,36
braille,ਬ੍ਰੇਲ,13,13
brass,ਪਿੱਤਲ,140,126
breeze,ਖੇਡ,12559,80
brick,ਇੱਟ,324,271
british,ਬ੍ਰਿਟਿਸ਼,457,1892
bronze,ਕਾਸ਼ੀ,27,909
broom,ਝਾੜੂ,86,39
brotherhood,ਭਾਈਚਾਰਾ,284,73
bud,ਕਲੀ,35,39
buddha,ਗੌਤਮ,540,57
buddy,ਅਜ਼ੀਜ਼,101,83
budget,ਬਜਟ,3035,2274
buff,ਭਗਤ,1095,42
bug,ਛੇੜਣਾ,9,106
bull,ਬ੍ਰਿਖ,14,67
bungalow,ਬੰਗਲਾ,133,58
burma,ਬ੍ਰਹਮਾ,72,48
burning,ਦਾਹ,14,999
businessman,ਵਪਾਰੀ,656,429
butter,ਮੱਖਣ,398,1442
buttermilk,ਲੱਸੀ,65,36
cabinet,ਮੰਤਰੀਮੰਡਲ,45,4808
calendar,ਕਲੰਡਰ,42,470
caliber,ਗੁਣਵੱਤਾ,7418,17
calibre,ਗੁਣਵੱਤਾ,7418,16
calligraphy,ਸੁਲੇਖ,13,12
campground,ਛਾਉਣੀ,225,11
camphor,ਕਪੂਰ,8978,10
campsite,ਛਾਉਣੀ,225,10
cardamom,ਇਲਾਇਚੀ,93,106
carelessness,ਲਾਪਰਵਾਹੀ,707,82
cartoon,ਕਾਰਟੂਨ,282,125
carver,ਮੂਰਤੀਕਾਰ,19,9
cashew,ਕਾਜੂ,72,35
casket,ਤਾਬੂਤ,34,12
catch,ਫੜਨਾ,77,746
caucasian,ਅੰਗਰੇਜ,27,26
cave,ਗੁਫਾ,170,171
censor,ਸੈਂਸਰ,488,50
cervix,ਮਣੀ,38,70
chair,ਸਭਾਪਤੀ,60,783
chairman,ਸਭਾਪਤੀ,60,2708
chairmanship,ਪ੍ਰਧਾਨਗੀ,2681,251
chairperson,ਸਭਾਪਤੀ,60,706
challenger,ਪ੍ਰਤੀਯੋਗੀ,165,54
chancellor,ਪ੍ਰਧਾਨਮੰਤਰੀ,762,292
chandi,ਚੰਡੀ,10,11
charm,ਮੋਹਣਾ,75,242
checkup,ਜਾਂਚ,43163,85
cheek,ਗੱਲ੍ਹ,49,24
cheetah,ਚੀਤਾ,58,16
cheque,ਚੈੱਕ,2208,162
cherry,ਚੈਰੀ,208,135
childhood,ਬਚਪਨ,2597,1602
chile,ਮਿਰਚ,1118,84
chili,ਮਿਰਚ,1118,86
chilli,ਮਿਰਚ,1118,82
chilly,ਮਿਰਚ,1118,105
chum,ਅਜ਼ੀਜ਼,101,9
cinnamon,ਦਾਲਚੀਨੀ,153,173
circus,ਸਰਕਸ,85,54
citizen,ਨਾਗਰਿਕ,3829,986
citizenship,ਨਾਗਰਿਕਤਾ,1356,1076
city,ਮਹਾਂਨਗਰ,93,13695
civilisation,ਸੱਭਿਅਤਾ,94,29
civilization,ਸੱਭਿਅਤਾ,94,136
clay,ਚਿੱਕੜ,149,380
cleaning,ਸਫ਼ਾਈ,553,1319
cleansing,ਸਫ਼ਾਈ,553,309
cleanup,ਸਫ਼ਾਈ,553,26
climb,ਉਚਾਈ,1970,203
closure,ਨਿਪਟਾਰਾ,962,230
cloud,ਬੱਦਲ,539,210
clout,ਮੁੱਕਾ,23,26
clove,ਲੌਂਗ,111,53
coat,ਲੇਪ,102,316
coating,ਲੇਪ,102,270
cobra,ਨਾਗ,32,13
coffin,ਤਾਬੂਤ,34,29
coloring,ਰੰਗ,21274,442
colouring,ਰੰਗ,21274,73
coma,ਰੂੰ,77,51
comb,ਕੰਘੀ,139,69
combustion,ਦਾਹ,14,67
commencement,ਆਰੰਭ,2035,88
comment,ਟਿੱਪਣੀ,4984,3346
comparison,ਉਪਮਾ,21,412
compass,ਸਮਝਿਆ,1195,34
compendium,ਸੰਗ੍ਰਿਹ,141,11
competitor,ਪ੍ਰਤੀਯੋਗੀ,165,37
complainant,ਮੁਦਈ,45,317
complication,ਪਰੇਸ਼ਾਨੀ,1273,115
compound,ਯੋਗਿਕ,19,348
comptroller,ਲੇਖਾਕਾਰ,29,17
computer,ਕੰਪਿਊਟਰ,5192,4216
conch,ਸੰਖ,14,8
conductor,ਕੰਡਕਟਰ,289,222
confirmation,ਪ੍ਰਮਾਣੀਕਰਨ,18,1068
congress,ਕਾਂਗਰਸ,35675,31124
consecration,ਸ਼ੁੱਧੀਕਰਨ,9,8
constituent,ਵਿਅੰਗ,136,123
construction,ਪਦ,171,3583
consulate,ਦੂਤਾਵਾਸ,494,175
consumer,ਉਪਭੋਗਤਾ,1006,779
contact,ਛੂਹਣਾ,38,9123
contender,ਪ੍ਰਤੀਯੋਗੀ,165,43
contestant,ਵਿਰੋਧੀ,7649,75
context,ਸੰਦਰਭ,634,625
continent,ਮਹਾਦੀਪ,239,497
contrast,ਰੇਖਾ,1147,279
controller,ਲੇਖਾਕਾਰ,29,228
convener,ਸਭਾਪਤੀ,60,232
cooking,ਰਸੋਈ,2973,1663
cool,ਠੰਡਕ,38,4961
corner,ਕੋਨਾ,43,782
coronation,ਤਾਜਪੋਸ਼ੀ,25,12
cottage,ਬੰਗਲਾ,133,459
cotton,ਕਪਾਹ,463,706
counsel,ਕੌਂਸਲਿੰਗ,95,427
counseling,ਕੌਂਸਲਿੰਗ,95,136
counselling,ਕੌਂਸਲਿੰਗ,95,150
counterfeit,ਨਕਲ,404,40
coupon,ਕੂਪਨ,97,44
covering,ਢਕਣਾ,9,319
crane,ਕਰੇਨ,54,67
cremation,ਸੰਸਕਾਰ,657,98
crime,ਅਪਰਾਧ,2206,3054
crony,ਅਜ਼ੀਜ਼,101,15
crore,ਕਰੋੜ,8690,4613
crossing,ਚੌਂਕ,112,345
crow,ਕਾਂ,113,28
crystal,ਬਲੌਰ,32,188
cuba,ਕਿਊਬਾ,190,115
cuff,ਹੱਥਕੜੀ,29,27
curd,ਦਹੀ,39,169
current,ਕਰੰਟ,256,3185
curriculum,ਪਾਠਕ੍ਰਮ,180,169
curse,ਸਰਾਪ,120,98
curvature,ਵਿੰਗ,1001,15
curve,ਵਿੰਗ,1001,42
custody,ਕੈਦ,2534,3775
cycle,ਚੱਕਰ,1529,732
dairy,ਡੇਰੀ,26,994
dak,ਢੱਕ,528,11
dare,ਲਲਕਾਰ,27,284
daring,ਲਲਕਾਰ,27,117
deadlock,ਜਾਮ,1481,108
debtor,ਦੇਣਦਾਰ,18,13
deceit,ਕਹਿਣਾ,11520,36
defendant,ਵਿਰੋਧੀ,7649,65
degradation,ਨੀਵਾਂ,133,27
demand,ਮੰਗ,17174,3191
demarcation,ਰੇਖਾ,1147,18
deportation,ਕੱਢਣਾ,418,28
depot,ਗੁਦਾਮ,33,42
desert,ਰੇਗਿਸਤਾਨ,40,167
destiny,ਹੋਣੀ,6868,193
destroyer,ਵਿਨਾਇਕ,14,14
detention,ਕੈਦ,2534,291
devotee,ਭਗਤ,1095,77
dialect,ਬੋਲੀ,1084,34
diameter,ਵਿਆਸ,493,444
diarrhea,ਦਸਤ,314,177
diarrhoea,ਦਸਤ,314,45
diary,ਡਾਇਰੀ,185,111
dice,ਪਾਸਾ,249,39
dictator,ਤਾਨਾਸ਼ਾਹ,130,47
diction,ਸ਼ਬਦਾਵਲੀ,94,11
dictionary,ਕੋਸ਼,76,51
die,ਪਾਸਾ,249,2090
disagreement,ਮਤਭੇਦ,519,63
disbelief,ਅਵਿਸ਼ਵਾਸ,14,19
discomfort,ਘਬਰਾਹਟ,647,554
dish,ਕਾਮਿਨੀ,18,805
disqualification,ਨਾਲਾਇਕ,9,57
dissension,ਮਤਭੇਦ,519,9
dissolution,ਸੰਭੋਗ,127,31
dissonance,ਮਤਭੇਦ,519,9
distributor,ਦੁਕਾਨਦਾਰ,260,35
diversity,ਅਨੇਕਤਾ,38,308
divorce,ਤਲਾਕ,1152,534
doctrine,ਦਰਸ਼ਨ,832,74
doll,ਪੁਤਲਾ,199,82
dolly,ਪੁਤਲਾ,199,11
donation,ਚੰਦਾ,118,569
dorm,ਹੋਸਟਲ,423,24
dormitory,ਹੋਸਟਲ,423,11
double,ਦੁਗਣਾ,45,1370
draft,ਮਸੌਦਾ,42,408
dramatist,ਨਾਟਕਕਾਰ,64,10
dreamer,ਆਦਰਸ਼ਵਾਦੀ,9,85
driving,ਚਲਾਉਣਾ,391,1356
dummy,ਪੁਤਲਾ,199,29
durbar,ਦਰਬਾਰ,722,10
dynamics,ਡਾਇਨਾਮਿਕਸ,15,66
ear,ਕੰਨ,831,409
earthquake,ਭੂਚਾਲ,2051,1032
eating,ਅਹਾਰ,24,3267
economics,ਅਰਥਸ਼ਾਸਤਰ,26,340
edible,ਖਾਣਪੀਣ,22,179
editing,ਸੰਪਾਦਨ,89,64
eggplant,ਬੈਂਗਣ,35,55
elbow,ਕੂਹਣੀ,69,90
election,ਚੌਣ,12,6495
elector,ਵੋਟਰ,730,10
element,ਵਿਅੰਗ,136,1123
ember,ਕੋਲੇ,433,13
embrace,ਜੱਫੀ,100,141
embracing,ਜੱਫੀ,100,30
emerald,ਪੰਨਾ,303,35
empire,ਸਾਮਰਾਜ,259,215
emptiness,ਖਾਲੀਪਣ,23,26
enactment,ਅਧਿਨਿਯਮ,43,28
endurance,ਸਹਿਣਸ਼ੀਲਤਾ,184,112
energy,ਊਰਜਾ,4140,3543
