English,Punjabi,English_Word_Count,Punjabi_Word_Count,is_noun
incorporated,ਸ਼ਾਮਿਲ,187,2844,False
increasing,ਵੱਧਦਾ,4492,1033,False
independent,ਪ੍ਰਧਾਨ,1471,47037,False
indestructible,ਪੱਕਾ,9,2686,False
indian,ਹਿੰਦੋਸਤਾਨੀ,27588,15,False
indicative,ਵਾਹਕ,79,36,False
indigenous,ਸਥਾਨਕ,234,9008,False
indivisible,ਅਟੁੱਟ,14,510,False
indonesian,ਇੰਡੋਨੇਸ਼ੀਆਈ,140,21,False
industrial,ਉਦਯੋਗਿਕ,1373,1434,False
industrialized,ਉਦਯੋਗਿਕ,12,1434,False
industrious,ਮਿਹਨਤੀ,19,692,False
ineligible,ਅਯੋਗ,38,336,False
inevitable,ਅਮਿੱਟ,226,36,False
inexpensive,ਸਸਤਾ,655,2252,False
inexperienced,ਅਨਾੜੀ,59,26,False
infamous,ਬਦਨਾਮ,52,411,False
infected,ਸੰਕ੍ਰਮਿਤ,1338,337,False
inherited,ਖਾਨਦਾਨੀ,79,19,False
inimical,ਅਣਜਾਣ,9,844,False
innovative,ਨਿਵੇਕਲਾ,338,450,False
innumerable,ਬੇਅੰਤ,34,750,False
inspirational,ਪ੍ਰੇਰਣਾਦਾਇਕ,96,110,False
inspiring,ਪ੍ਰੇਰਕ,316,289,False
instinctive,ਸੁਭਾਵਿਕ,15,258,False
institutional,ਸੰਸਥਾਗਤ,148,237,False
integrated,ਮਿਸ਼ਰਤ,408,34,False
intellectual,ਧੀਮਾਨ,221,54,False
interesting,ਦਿਲਚਸਪ,10133,15244,False
interfering,ਵਿਰੋਧੀ,59,7649,False
internal,ਅੰਤਰੰਗ,2079,29,False
international,ਇੰਟਰਨੈਸ਼ਨਲ,7412,737,False
intolerable,ਅਸਹਿਣਯੋਗ,48,20,False
invaluable,ਬਹੁਮੁੱਲੇ,124,15,False
invented,ਹਵਾਈ,106,8311,False
invincible,ਅਜਿੱਤ,35,21,False
invisible,ਲੁਪਤ,135,40,False
involved,ਪੇਚੀਦਾ,4267,125,False
iranian,ਈਰਾਨੀ,265,216,False
irritable,ਜਿੱਦੀ,82,10,False
irritating,ਕਸ਼ਟਦਾਈ,83,225,False
islamic,ਇਸਲਾਮਿਕ,852,780,False
israeli,ਇਸਰਾਇਲੀ,285,12,False
italian,ਇਟਾਲੀਅਨ,635,169,False
japanese,ਜਪਾਨੀ,698,258,False
jealous,ਈਰਖਾਲੂ,175,25,False
jolly,ਰੰਗੀਲਾ,107,21,False
joyous,ਅਨੰਦਮਈ,142,183,False
kidnapped,ਕਿਡਨੈਪ,207,12,False
knowing,ਸੁਰੱਖਿਅਤ,545,10522,False
knowledgeable,ਸੁਰੱਖਿਅਤ,371,10522,False
known,ਸਮਝ,6766,11302,False
laborious,ਕਠਿਨ,98,388,False
lacking,ਅਸੰਭਵ,171,3356,False
large,ਉਦਾਰ,15251,95,False
last,ਰਹਿਣਾ,12054,4794,False
lasting,ਪਾਏਦਾਰ,171,18,False
late,ਚਿਰ,3296,3189,False
latest,ਚਾਲੂ,2137,1300,False
laudable,ਸਲਾਹੁਣਯੋਗ,39,55,False
laughable,ਕਮੇਡੀ,26,35,False
leading,ਰਹਿਨੁਮਾਈ,2233,47,False
learned,ਸੁਰੱਖਿਅਤ,1484,10522,False
least,ਥੋੜ੍ਹਾ,19109,4470,False
legal,ਕਾਨੂੰਨੀ,4084,6062,False
legislative,ਵਿਧਾਨਿਕ,622,55,False
lexical,ਸ਼ਬਦ,24,1364,False
liberal,ਉਦਾਰਵਾਦੀ,140,50,False
liberated,ਮੁਕਤ,44,1456,False
licenced,ਨਿਯੁਕਤ,8,2480,False
licensed,ਨਿਯੁਕਤ,188,2480,False
lighted,ਉਜਲ,24,10,False
limited,ਕੱਚਾ,2484,519,False
linguistic,ਭਾਸ਼ਾਈ,48,16,False
literary,ਸਾਹਿਤਿਕ,411,43,False
little,ਅੰਸ਼,10999,182,False
live,ਸਮਝਣਾ,7233,1726,False
lively,ਸਜੀਵ,152,123,False
loaded,ਟੱਲੀ,268,39,False
local,ਸਥਾਨਿਕ,7546,170,False
located,ਸਥਿਤ,6291,10018,False
logical,ਤਰਕਸੰਗਤ,365,135,False
lonely,ਇਕਲਾ,384,42,False
long,ਦੂਰਦ੍ਰਿਸ਼ਟੀ,15022,10,False
loose,ਭਗੋੜੇ,312,11,False
lost,ਅਪੰਗ,5777,41,False
loving,ਪ੍ਰੇਮੀ,1315,1479,False
low,ਪੀੜਤ,4077,5827,False
lowly,ਨੀਵੇਂ,8,188,False
lucky,ਖੁਸ਼ਨਸੀਬ,948,22,False
ludicrous,ਬਦਨਾਮ,52,411,False
luscious,ਮਜ਼ੇਦਾਰ,11,491,False
lustrous,ਚਮਕਦਾਰ,17,3274,False
lying,ਕੂੜ,665,108,False
lymphatic,ਲਾਰ,19,49,False
made,ਕਿਰਤ,28168,642,False
magical,ਜਾਦੂਈ,438,282,False
magnanimous,ਉਦਾਰ,17,95,False
magnetic,ਚੁੰਬਕੀ,95,97,False
maimed,ਵਿਕਲਾਂਗ,21,16,False
main,ਪ੍ਰਬਲ,14107,132,False
majestic,ਰਾਜਸੀ,112,434,False
major,ਵੱਡਾ,6363,18896,False
malnourished,ਕੁਪੋਸ਼ਿਤ,22,14,False
mangled,ਫਟਿਆ,41,28,False
manifest,ਪ੍ਰਤੱਖ,257,284,False
manly,ਮਰਦਾਨਾ,22,44,False
marked,ਅੰਕਿਤ,330,195,False
married,ਵਿਆਹਿਆ,4370,319,False
marvellous,ਚਮਤਕਾਰੀ,129,213,False
marvelous,ਚਮਤਕਾਰੀ,234,213,False
measured,ਤੁਲਿਆ,571,27,False
mechanical,ਯੰਤਰਿਕ,662,91,False
medical,ਜਾਂਚ,11381,43163,False
memorable,ਅਭੁੱਲ,468,519,False
merged,ਸ਼ਾਮਿਲ,131,2844,False
mexican,ਮੈਕਸੀਕਨ,139,76,False
military,ਸੈਨਿਕ,3044,915,False
million,ਮਿਲੀਅਨ,3110,1659,False
mined,ਮਾਈਨਿੰਗ,22,374,False
miraculous,ਚਮਤਕਾਰੀ,110,213,False
mischievous,ਬਦਮਾਸ਼,71,213,False
missing,ਅਸੰਭਵ,2060,3356,False
missionary,ਮਿਸ਼ਨਰੀ,31,33,False
mixed,ਅੰਤਰਜਾਤੀ,831,13,False
modest,ਸਰਲ,270,964,False
molded,ਬਣੀ,11,4940,False
monstrous,ਭਿਆਨਕ,29,4846,False
monthly,ਮਾਸਿਕ,495,206,False
moral,ਸਬਕ,470,743,False
mortified,ਜਲੀਲ,30,33,False
motivated,ਪ੍ਰੇਰਿਤ,435,2936,False
mountainous,ਪਰਬਤੀ,97,29,False
movable,ਅਟਿਕ,26,9,False
moving,ਪ੍ਰਚਲਿਤ,1437,306,False
much,ਖ਼ੂਬ,34699,610,False
murdered,ਮ੍ਰਿਤ,714,146,False
musical,ਸੰਗੀਤਮਈ,550,11,False
mutilated,ਵਿਕਲਾਂਗ,55,16,False
mutual,ਪਰਸਪਰ,651,187,False
mysterious,ਰਹੱਸਮਈ,410,457,False
mystic,ਰਹੱਸਮਈ,14,457,False
mystical,ਰਹੱਸਮਈ,76,457,False
mythical,ਪੌਰਾਣਿਕ,35,22,False
mythological,ਪੌਰਾਣਿਕ,29,22,False
naked,ਨਿਰਵਸਤਰ,189,134,False
named,ਨਾਮੀ,2387,309,False
narrative,ਸਟੋਰੀ,180,475,False
national,ਪਰਜਾ,12413,134,False
natural,ਪਾਤਰ,6007,820,False
near,ਪ੍ਰਿਯ,4242,11,False
needed,ਆਵਸ਼ਕ,8049,9,False
needful,ਆਵਸ਼ਕ,30,9,False
negative,ਨੈਗੇਟਿਵ,2583,681,False
neglected,ਅਣਦੇਖਿਆ,162,56,False
nepalese,ਨੇਪਾਲੀ,91,186,False
nervous,ਉਤਾਵਲਾ,1213,29,False
netted,ਜਾਲੀਦਾਰ,18,25,False
new,ਕੱਚਾ,39646,519,False
newborn,ਨਵ-ਜੰਮੇ,499,49,False
next,ਅਗਲਾ,10321,1891,False
nice,ਸੂਖਮ,8338,354,False
niggling,ਮਾਮੂਲੀ,13,2113,False
nigh,ਨਜਦੀਕੀ,15,110,False
nimble,ਫੁਰਤੀਲਾ,11,39,False
ninth,ਨੌਵਾਂ,166,44,False
nitric,ਨਾਈਟ੍ਰਿਕ,11,12,False
noble,ਆਲੀਸ਼ਾਨ,306,50,False
nomadic,ਵਣਜਾਰਾ,10,11,False
nominated,ਨਾਮਜ਼ਦ,580,951,False
nonsensical,ਬਕਵਾਸ,43,506,False
northern,ਉਤਰੀ,1205,412,False
norwegian,ਨਾਰਵੇਜੀਅਨ,74,23,False
notable,ਵਿਚਾਰਨਯੋਗ,388,128,False
noteworthy,ਵਿਚਾਰਨਯੋਗ,266,128,False
notional,ਕਲਪਤ,10,137,False
notorious,ਬਦਨਾਮ,83,411,False
nourishing,ਪੋਸ਼ਟਿਕ,46,117,False
numeric,ਸੰਖਿਆਤਮਕ,18,63,False
numerical,ਸੰਖਿਆਤਮਕ,67,63,False
nuptial,ਵਿਵਾਹਿਕ,9,37,False
nutritious,ਪੋਸ਼ਟਿਕ,531,117,False
obese,ਬੇਡੌਲ,155,22,False
objectionable,ਇਤਰਾਜਯੋਗ,123,9,False
obliging,ਦਿਆਲੂ,23,973,False
oblivious,ਭੁੱਲੜ,70,16,False
obnoxious,ਇਤਰਾਜਯੋਗ,48,9,False
observable,ਦਰਸ਼ਨੀ,11,18,False
obstructive,ਅਟਕ,51,73,False
occupied,ਜੁਟਿਆ,377,70,False
old,ਪ੍ਰਾਚੀਨ,3920,1405,False
older,ਜੇਠਾ,1495,28,False
ominous,ਬੁਰਾ,52,5760,False
ongoing,ਚਾਲੂ,2541,1300,False
open,ਖੋਲਣਾ,7332,11,False
operable,ਅਸਲੀ,8,6479,False
operational,ਅਸਲੀ,372,6479,False
opinionated,ਢੀਠ,14,188,False
opportunistic,ਮੌਕਾਪ੍ਰਸਤ,22,34,False
opposed,ਵਿਰੋਧੀ,976,7649,False
opposing,ਵਿਰੋਧੀ,425,7649,False
oppressed,ਸਤਾਇਆ,37,11,False
oppressive,ਬੇਇਨਸਾਫੀ,27,121,False
optic,ਨੇਤਰ,15,34,False
optical,ਮੋਤੀਆ,70,37,False
optimistic,ਆਸ਼ਾਵਾਦੀ,202,34,False
optional,ਮਰਜ਼ੀ,235,431,False
oral,ਮੌਖਿਕ,413,178,False
ordered,ਤਰਕਸੰਗਤ,2855,135,False
orderly,ਤਰਕਸੰਗਤ,50,135,False
ordinary,ਮਾਮੂਲੀ,1317,2113,False
organic,ਜੀਵੰਤ,554,134,False
organized,ਕ੍ਰਮਵਾਰ,1287,585,False
original,ਦੇਸੀ,1601,518,False
orphaned,ਬੇਸਹਾਰਾ,14,202,False
outrageous,ਭਿਅੰਕਰ,90,136,False
outside,ਬਾਹਰ,3770,15836,False
outspoken,ਬੇਝਿਜਕ,29,28,False
outstanding,ਰਹਿੰਦਾ,993,6054,False
owed,ਰਹਿੰਦਾ,39,6054,False
owing,ਰਹਿੰਦਾ,322,6054,False
painted,ਨਕਲੀ,336,977,False
palatable,ਰੌਚਕ,11,167,False
panicked,ਘਬਰਾਇਆ,93,279,False
parasitic,ਪਰਜੀਵੀ,36,202,False
partial,ਪੱਖਪਾਤੀ,278,101,False
particular,ਸਪੈਸ਼ਲ,2970,653,False
passable,ਵਿਰਾਨ,18,26,False
patriotic,ਦੇਸ਼ਭਗਤ,115,17,False
peaked,ਬਿਮਾਰ,9,1188,False
pending,ਵਿਚਾਰਅਧੀਨ,1147,27,False
perceived,ਅਨੁਭਵ,159,4789,False
perceptible,ਪ੍ਰਤੱਖ,8,284,False
perfumed,ਖੁਸ਼ਬੂਦਾਰ,9,23,False
periodical,ਨਿਸ਼ਚਿਤ,12,472,False
perpetual,ਅਨਾਦਿ,24,51,False
pessimistic,ਨਿਰਾਸ਼ਾਵਾਦੀ,42,11,False
pharmaceutical,ਔਸ਼ਧੀ,320,49,False
piercing,ਉੱਚੀ,28,1354,False
pious,ਅਨੁਯਾਈ,80,15,False
pissed,ਟੱਲੀ,185,39,False
placed,ਸਥਿਤ,1703,10018,False
planned,ਆਯੋਜਿਤ,1373,1319,False
plastered,ਟੱਲੀ,39,39,False
pleasing,ਸਬਰ,145,1449,False
plotted,ਆਯੋਜਿਤ,15,1319,False
plus,ਜੋੜਨਾ,800,399,False
poisonous,ਜ਼ਹਿਰੀਲਾ,280,78,False
polish,ਪੋਲਿਸ਼,126,11,False
political,ਸਿਆਸਤ,7333,2020,False
polluted,ਗੰਧਲਾ,279,26,False
poor,ਦੀਨ,2370,87,False
poorly,ਬਿਮਾਰ,154,1188,False
popular,ਪੋਪ,7128,191,False
porous,ਭੰਗ,28,997,False
portuguese,ਪੁਰਤਗਾਲੀ,53,90,False
possible,ਸੰਭਾਵਿਤ,13893,523,False
powerful,ਤੰਦਰੁਸਤ,2083,4202,False
practicable,ਕਰਨਯੋਗ,11,62,False
praising,ਸਵਾਗਤੀ,91,81,False
precious,ਅਮੁੱਲ,681,67,False
preferred,ਲਾਡਲਾ,342,22,False
prescribed,ਅਨੁਸਾਰ,1043,26567,False
presidential,ਪ੍ਰਧਾਨਗੀ,838,2681,False
previous,ਸਾਬਕਾ,1702,17499,False
private,ਨਿੱਜੀ,9280,9856,False
productive,ਉਪਜਾਊ,249,279,False
profitable,ਫਲਦਾਇਕ,504,90,False
prohibited,ਹਰਾਮ,668,72,False
projected,ਪ੍ਰਸਤਾਵਿਤ,129,565,False
promised,ਵਚਨਬੱਧ,961,1533,False
prophylactic,ਨਿਵਾਰਕ,24,69,False
proposed,ਪ੍ਰਸਤਾਵਿਤ,1146,565,False
prosperous,ਸਵਰਨ,143,155,False
protected,ਮਹਿਫੂਜ਼,847,15,False
proved,ਪ੍ਰਮਾਣਿਤ,1405,534,False
psychological,ਮਨੋਵਿਗਿਆਨਿਕ,876,85,False
published,ਪ੍ਰਕਾਸ਼ਿਤ,2175,667,False
punishing,ਕਠਿਨ,41,388,False
purified,ਨਿਰਮਲ,136,530,False
quadrilateral,ਚਤੁਰਭੁਜ,8,34,False
qualified,ਨਿਰਭਰ,1247,9663,False
quarterly,ਤਿਮਾਹੀ,46,418,False
quiet,ਬੁਝਾਉਣਾ,2126,14,False
racial,ਖਾਨਦਾਨੀ,94,19,False
raging,ਘਾਤਕ,121,1052,False
raised,ਉੱਚਾ,3518,1067,False
rapid,ਤੇਜ਼,795,3351,False
razed,ਢੱਠੇ,27,9,False
ready,ਖੜਨਾ,15688,9,False
real,ਅਸਥਾਈ,10854,909,False
realistic,ਅਕਲਪਿਤ,769,15,False
reasoned,ਵਿਚਾਰਿਆ,15,427,False
reassured,ਬੇਫਿਕਰ,46,31,False
reassuring,ਨਿਰਭੈ,49,35,False
received,ਰਵਾਇਤੀ,6967,1970,False
reciprocal,ਪਰਸਪਰ,30,187,False
reclining,ਲੇਟਿਆ,10,17,False
recognised,ਸਵੀਕਾਰ,745,5322,False
recognized,ਸਵੀਕਾਰ,1052,5322,False
red,ਕਸਾਈ,4826,13,False
refined,ਨਿਰਮਲ,276,530,False
reflected,ਪਰਿਵਰਤਿਤ,242,17,False
registered,ਰਜਿਸਟਰਡ,29032,881,False
related,ਵਾਰੇ,3578,261,False
religious,ਪੰਥੀ,2762,9,False
remaining,ਬਾਕੀ,1782,13520,False
removed,ਪਹਿਲਾਂ,1954,71175,False
renewable,ਨਵੀਨੀਕਰਣ,112,25,False
repeated,ਦੁਹਰਾਇਆ,889,930,False
repressed,ਦੱਬਿਆ,8,51,False
requested,ਪੂਜਨੀਕ,1747,25,False
required,ਜ਼ਰੂਰੀ,7848,9035,False
reserved,ਸੰਤੋਖੀ,924,10,False
respectable,ਸਤਿਕਾਰਯੋਗ,83,121,False
respected,ਸਨਮਾਨਤ,549,1027,False
responsible,ਜਿੰਮਾ,3374,17,False
restrained,ਸਰਲ,151,964,False
restricted,ਕਾਬੂ,344,8400,False
retail,ਰਿਟੇਲ,549,200,False
retired,ਰਿਟਾਇਰ,626,154,False
retiring,ਨਿਮਾਣਾ,48,21,False
revolting,ਈਰਖਾਲੂ,8,25,False
revolutionary,ਇਨਕਲਾਬੀ,276,222,False
rich,ਕਾਫੀ,4258,22971,False
ridiculous,ਬਦਨਾਮ,358,411,False
rigid,ਕਠੋਰ,124,321,False
risky,ਸੰਕਟਮਈ,256,13,False
roaring,ਗਰਜ,29,94,False
rooted,ਸਥਿਰ,96,1803,False
rose,ਗੁਲਾਬੀ,968,1081,False
rugged,ਸੰਘਰਸ਼ਮਈ,31,11,False
ruined,ਖਤਮ,309,7193,False
rural,ਗ੍ਰਾਮੀਣ,1885,133,False
russian,ਰਸ਼ੀਅਨ,3333,35,False
sacred,ਸ਼ੁੱਧ,469,334,False
safe,ਸੁਰੱਖਿਅਤ,5638,10522,False
said,ਕਹੀਆਂ,78064,101,False
sanctified,ਸ਼ੁੱਧ,10,334,False
sanctioned,ਸਹਿਮਤੀ,243,2920,False
satisfied,ਰਾਜਾ,1576,1636,False
satisfying,ਸਬਰ,351,1449,False
saturated,ਲੱਥਪੱਥ,399,31,False
scented,ਖੁਸ਼ਬੂਦਾਰ,13,23,False
scheduled,ਤਹਿ,1211,1251,False
scholastic,ਸਕੂਲੀ,11,1439,False
scientific,ਵਿਗਿਆਨਕ,1231,1337,False
scintillating,ਚਮਕਦਾ,47,113,False
scrumptious,ਮਜ਼ੇਦਾਰ,32,491,False
sealed,ਸੀਲਬੰਦ,386,57,False
seasonal,ਮੌਸਮੀ,165,317,False
seated,ਵਿਰਾਜਮਾਨ,221,15,False
second,ਸੈਕਿੰਡ,11767,156,False
secondary,ਗੌਣ,909,34,False
sectarian,ਸੰਪਰਦਾਇਕ,23,11,False
secured,ਬੰਧਨ,587,437,False
seeded,ਬੀਜੀ,46,52,False
selected,ਵਿਸ਼ਿਸ਼ਟ,1981,11,False
semantic,ਅਰਥੀ,23,119,False
senior,ਸਿਆਣੇ,6793,275,False
sensational,ਸਨਸਨੀਖੇਜ,117,18,False
sensitive,ਭਾਵਨਾਤਮਕ,1081,660,False
separated,ਵੱਖਰਾ,286,4700,False
septic,ਸੰਕ੍ਰਮਿਤ,42,337,False
sequential,ਲੜੀਵਾਰ,15,203,False
serbian,ਸਰਬਿਆਈ,25,26,False
serial,ਲੜੀਵਾਰ,182,203,False
serious,ਨਾਜੁਕ,8703,118,False
settled,ਗੁਲਜ਼ਾਰ,712,111,False
several,ਅਨੇਕਾਂ,20187,2037,False
severe,ਨਾਜੁਕ,2807,118,False
sexual,ਯੌਨ,1668,168,False
shaped,ਬਣੀ,79,4940,False
sharp,ਧਾਰਦਾਰ,866,14,False
shattered,ਚੂਰ-ਚੂਰ,213,15,False
shining,ਚਮਕਦਾਰ,80,3274,False
shocked,ਸੁੰਨ,1070,199,False
short,ਛੋਟਾ,3133,5658,False
siamese,ਥਾਈ,8,121,False
signed,ਹਸਤਾਖ਼ਰ,1149,63,False
sitting,ਵਿਰਾਜਮਾਨ,1824,15,False
situated,ਸਥਿਤ,790,10018,False
sizzling,ਤੱਤੀ,29,10,False
sloppy,ਦਲਦਲੀ,19,13,False
slow,ਧੀਮਾ,1228,12,False
sluggish,ਮੰਦ,53,25,False
small,ਛੋਟਾ,13282,5658,False
smashed,ਟੱਲੀ,160,39,False
smashing,ਬਾਂਕਾ,29,10,False
smiling,ਹਾਸੀ,567,19,False
snappy,ਰੰਗੀਲਾ,15,21,False
soaked,ਟੱਲੀ,105,39,False
soaking,ਲੱਥਪੱਥ,82,31,False
social,ਸਮਾਜਿਕ,17070,4441,False
soft,ਘੋਸ਼,1667,187,False
soiled,ਮਲੀਨ,28,19,False
solid,ਕੜਕ,857,203,False
solitary,ਮਹਿਜ,60,122,False
soluble,ਘੁਲਣਸ਼ੀਲ,108,21,False
sometime,ਪ੍ਰਾਚੀਨ,273,1405,False
southern,ਦੱਖਣੀ,903,5265,False
spanish,ਸਪੈਨਿਸ਼,420,43,False
speaking,ਬੋਲਦਾ,2984,543,False
special,ਸਪੈਸ਼ਲ,15488,653,False
specific,ਵਿਸ਼ੇਸ਼,3402,6944,False
spiritual,ਰੂਹਾਨੀ,558,296,False
spurious,ਦੋਗਲਾ,143,13,False
squandered,ਤਬਾਹ,31,1747,False
staged,ਅਭਿਨੀਤ,574,9,False
staring,ਪੱਕਾ,123,2686,False
starved,ਨਿਰਨਾ,18,13,False
starving,ਨਿਰਨਾ,84,13,False
stated,ਤਸਦੀਕ,2780,385,False
static,ਵਿਰਾਮ,118,86,False
stewed,ਉਬਲਿਆ,22,23,False
still,ਬੁਝਾਉਣਾ,18398,14,False
storied,ਛੱਤ,9,2242,False
strained,ਜਾਲੀ,151,77,False
strategic,ਕੂਟਨੀਤਕ,607,280,False
streaming,ਵਗਦਾ,132,130,False
stressed,ਉਚਾ,1000,96,False
strong,ਕੜਕ,5828,203,False
stunning,ਸਨਸਨੀਖੇਜ,1049,18,False
stupid,ਘੋਗਾ,592,9,False
submerged,ਕਾਈ,165,25,False
substantial,ਕੜਕ,349,203,False
sugary,ਮਿੱਠਾ,215,613,False
suitable,ਦਰੁਸਤ,2926,401,False
suited,ਦਰੁਸਤ,228,401,False
superfluous,ਵਾਧੂ,99,6918,False
supposed,ਪਾਖੰਡੀ,2609,86,False
suspended,ਮੁਲਤਵੀ,1893,960,False
swallowed,ਪ੍ਰਭਾਵਿਤ,19,7495,False
swedish,ਸਵੀਡਿਸ਼,176,17,False
systematic,ਨਿਯਮਬੱਧ,143,12,False
tactical,ਰਣਨੀਤੀਕ,38,17,False
taiwanese,ਚੀਨੀ,24,3282,False
talented,ਗੁਣਵਾਨ,779,21,False
talking,ਬੋਲਦੀ,4313,219,False
tangled,ਪੇਚੀਦਾ,12,125,False
taxable,ਟੈਕਸਯੋਗ,44,25,False
technical,ਉਦਯੋਗਿਕ,1849,1434,False
technological,ਉਦਯੋਗਿਕ,282,1434,False
tedious,ਅਕਾਊ,131,9,False
telling,ਥਿਰ,1129,20,False
temporary,ਅਸਥਾਈ,664,909,False
terrible,ਹਨੇਰੀ,1649,234,False
terrified,ਘਬਰਾਇਆ,339,279,False
tested,ਜਾਂਚਿਆ,1352,41,False
third,ਤਿਹਾਈ,6731,450,False
thoughtful,ਵਿਚਾਰਵਾਨ,246,73,False
thrilled,ਰੋਮਾਂਚਿਤ,457,845,False
thrilling,ਰੋਮਾਂਚਿਕ,166,73,False
thriving,ਵਿਕਾਸਸ਼ੀਲ,50,90,False
thumping,ਮਹਾਨ,95,5365,False
tired,ਨਿਢਾਲ,1365,25,False
tiring,ਥਕਾਊ,99,17,False
tortured,ਸਤਾਏ,138,45,False
total,ਟੋਟਲ,9960,19,False
touched,ਛੂਹਿਆ,370,64,False
tough,ਸੰਘਰਸ਼ਮਈ,2116,11,False
traditional,ਪੁਸ਼ਤੈਨੀ,1588,24,False
trained,ਉਸਤਾਦ,690,86,False
transmissible,ਖਾਨਦਾਨੀ,30,19,False
transmitted,ਖਾਨਦਾਨੀ,382,19,False
treated,ਨਿਰੋਗ,2969,53,False
tried,ਜਾਂਚਿਆ,3511,41,False
trillion,ਬਿਲੀਅਨ,75,276,False
trivial,ਮਾਮੂਲੀ,176,2113,False
tropical,ਊਸ਼ਣਕਟੀਬੰਧੀ,188,10,False
troubled,ਸੰਕਟਗ੍ਰਸਤ,328,18,False
troubling,ਸੋਚਣਯੋਗ,175,9,False
true,ਖਰਾ,14136,143,False
truncated,ਕੱਟਿਆ,8,1717,False
trusting,ਵਿਸ਼ਵਾਸੀ,191,18,False
tumultuous,ਸੰਕਟਗ੍ਰਸਤ,21,18,False
turned,ਫਟਿਆ,4332,28,False
typical,ਪ੍ਰਸਿੱਧ,727,6804,False
tyrannical,ਬੇਲਗਾਮ,11,46,False
ubiquitous,ਸਰਵਵਿਆਪਕ,25,36,False
ugly,ਭੈੜੀ,356,273,False
unaccountable,ਜਵਾਬਦੇਹ,8,214,False
unanimous,ਇਕਮੱਤ,156,13,False
unarmed,ਨਿਹੱਥੇ,31,229,False
unassailable,ਅਭੇਦ,42,47,False
unassuming,ਨਿਮਾਣਾ,16,21,False
unattainable,ਅਪ੍ਰਾਪਤ,21,17,False
unattended,ਅਣਦੇਖਿਆ,28,56,False
unattractive,ਭੱਦਾ,28,22,False
unavailable,ਅਪ੍ਰਾਪਤ,55,17,False
unbalanced,ਬੋਲਾ,29,19,False
unbearable,ਅਸਹਿਣਯੋਗ,70,20,False
unbeatable,ਅਜਿੱਤ,25,21,False
unbeaten,ਅਜਿਤ,126,90,False
unbecoming,ਅਸਮਾਜਿਕ,9,17,False
unbiased,ਇਨਸਾਫ,25,713,False
unbounded,ਬੇਹੱਦ,14,7883,False
unbridled,ਬੇਲਗਾਮ,8,46,False
